,date,tweet,nlikes,label,prob_neg,prob_pos,state_code
2375,2020-11-27 15:52:26,would care engage discussion amp offer counterpoint nuclear energy potentially remain alternative fossil fuel green policy amp think ruled compliment conventional renewables,0.0,2,0.15717511,0.8428249,West Midlands
2376,2020-11-27 15:52:11,make compelling case use nuclear energy economy understand proponent ensuring option removed table face threat climate change,0.0,0,0.976592,0.023408,West Midlands
2377,2020-11-25 15:01:10,deeply moving forensically accurate piece every paragraph ha nuclear energy it’s orwell solzhenitsyn piece classical political cultural analysis,25.0,2,0.11195318,0.88804686,West Midlands
2378,2020-11-24 17:31:57,enjoyed reading latest article reminded growing punjabi household often forget socioeconomic challenge many people faced time httpstcordtjzd nuclearenergy climateaction,1.0,2,0.16991667,0.8300833,West Midlands
2379,2020-11-23 09:58:24,like green theyre cringe come nuclear energy,0.0,1,0.54799604,0.45200402,West Midlands
2380,2020-09-07 07:02:25,still utopian energy source talk wa entitled energy st century nuclear energy consultancy meant fission fusion argued decommissioning fossil asset wa possible new fleet awe built wasis wrong,0.0,0,0.89688265,0.10311738,West Midlands
2381,2020-08-04 22:09:02,nfl draft i’m get fascinating day rd get john ‘ring fire’ cash de rd guy pic went director congressional affair agency licensed commercial use nuclear energywho httpstcokcvglhw,1.0,2,0.032015346,0.9679846,West Midlands
2382,2019-11-08 13:48:55,raising steam link chemistry electricity production presenting role renewables hydrogen battery fuel cell nuclear energy cleaner future linked dynamo exhibit httpstcoxenwbdsy,1.0,0,0.9877978,0.012202159,West Midlands
2383,2019-06-29 17:56:56,great welcoming open day visitor enthusiastic volunteer energy demonstration parent included encouraging receive excellent feedback many question nuclear energy environment httpstcomtoncvis,8.0,0,0.577083,0.422917,West Midlands
2384,2014-10-22 19:50:54,windpower v nuclearenergy fossilfuel debate cant believe people would rather live reactor windturbine really,0.0,0,0.9726968,0.027303183,West Midlands
2385,2014-09-15 17:41:27,datatecnics nuclear energy safe system limited new company sellyoak birmingham england uk httptcontcdiqrqhr director,0.0,2,0.022742214,0.9772578,West Midlands
2386,2014-09-13 15:16:20,knowledge largely revolves around nuclear energy yknow cause thats first thing need know french,0.0,1,0.50748163,0.49251837,West Midlands
2387,2013-10-21 08:44:45,edf getting bed chinese money hope work ok nuclear energy ha long halflife,0.0,0,0.9835217,0.016478306,West Midlands
2388,2011-05-10 10:50:50,rt japan prime minister say plan increase share power nuclear energy percent scrapped ap,0.0,0,0.9868089,0.013191103,West Midlands
4658,2020-11-26 05:23:53,interesting article role nuclearenergy uk goal decarbonise work towards netzero nuclear energy certainly divide opinion netzerobritain tough challenge greenindustrialrevolution coming moment soon,1.0,2,0.43776956,0.56223047,East Midlands
4659,2020-08-15 15:15:18,solution nuclear energy least hansen gut say,1.0,0,0.9878444,0.012155526,East Midlands
4660,2020-08-12 22:05:12,boy like handover applause 👏 brie knew musically worst nuclear energy ⚡ correctcorrectgang 👉 ccg ramsyyoung… httpstcodaybzazzvx,0.0,0,0.9857226,0.014277397,East Midlands
4661,2020-07-30 19:46:50,forget climate denier nonsense ken rice agree nuclear energy best bet future,0.0,2,0.046355374,0.95364463,East Midlands
4662,2020-07-30 19:40:08,nuclear energy ha far lowest environmental impact energy source even including chernobyl fukishima,14.0,2,0.002277181,0.9977228,East Midlands
4663,2019-09-26 12:15:16,bit scared nuclear energy quite like good old wind turbine,0.0,0,0.93488884,0.065111205,East Midlands
4664,2019-07-08 15:54:59,doe government support fossil amp nuclear energy renewables storage starting cheaper safer resilient,0.0,2,0.08047119,0.91952884,East Midlands
4665,2019-06-03 17:09:12,dont want green industrial revolution climate emergency tackle stop using fossil fuel nuclear energy way forward,0.0,2,0.18237992,0.8176201,East Midlands
4666,2017-05-02 07:16:53,one pm setting nuclear energy governance scrutiny system going cost huge httpstcobeeaqsfem,0.0,0,0.97685355,0.023146411,East Midlands
4667,2014-05-04 17:43:34,killed religion nuclear energy release ban relgion,0.0,0,0.9749501,0.025049869,East Midlands
4668,2014-01-31 10:42:13,nuclear energy totally safe keep saying,0.0,0,0.97069925,0.029300727,East Midlands
6517,2019-11-28 20:23:49,left ha really irrational almost xenophobic reaction nuclear energy brief modern reactor safe leave waste due innovation fast reactor nuclear need part transition renewables climatenaturedebate ge,0.0,0,0.9631684,0.036831684,North East
6518,2019-05-30 15:11:27,iea ring alarm bell phasing nuclear energy httpstcodxwc,0.0,2,0.064119235,0.9358807,North East
6519,2019-04-04 08:09:03,indian point shutdown natural gas filled nuclear energy gap httpstcomjncdgntd,0.0,0,0.9151605,0.08483957,North East
6520,2019-03-11 16:03:35,absolutely correct call nuclearenergy absolutely wrong snp denounce highland council slammed call withdraw rejection nuclear power httpstcoginkzqjfl,1.0,2,0.0073266122,0.99267334,North East
6521,2012-06-19 06:58:10,teaching alevel class nuclear energy german later rock,0.0,0,0.86285454,0.13714546,North East
10360,2020-11-30 13:58:00,nuclear energy challenge uk overcome httpstcofopkvlx greenenergy netzero httpstcozcrhqdq,0.0,0,0.94083744,0.05916262,North West
10361,2020-11-28 12:30:21,apply civilstructural engineer httpstcoeyusgvxz reference tm contract central scotland salary dependant experience nuclear engineering nuclearenergy power renewables sustainability cleanenergy,0.0,0,0.7159323,0.2840677,North West
10362,2020-11-27 14:23:26,apply safety case engineer httpstcogpjwucu reference pc contract yorkshire humberside salary dependant experience nuclear engineering nuclearenergy power renewables sustainability cleanenergy jobsearch,0.0,0,0.9569931,0.043006904,North West
10363,2020-11-26 10:03:27,apply decommissioning engineer httpstcoblczrvhfbi reference km permanent north west salary dependant experience nuclear engineering nuclearenergy power renewables sustainability cleanenergy jobsearch httpstcozalrpuyt,0.0,1,0.4959826,0.5040174,North West
10364,2020-11-25 12:55:04,apply hazard study engineer httpstcoraxmida reference pc permanent south west salary dependant experience nuclear engineering nuclearenergy power renewables sustainability cleanenergy,0.0,2,0.39628947,0.6037105,North West
10365,2020-11-25 08:01:07,apply piping calculation engineer httpstcoxbcmtqet reference lw permanent south west salary dependant experience nuclear engineering nuclearenergy power renewables sustainability cleanenergy,0.0,0,0.66210884,0.33789113,North West
10366,2020-11-21 19:43:45,well course science responsible every technological advancement good bad nuclear energy nuclear weapon science,0.0,0,0.8838353,0.116164714,North West
10367,2020-11-04 06:56:19,we’ve got enough deal pretty grim need energy mix better suited climate landscape solar wind don’t cut miserable autumn day like nuclearenergy provides u cleanenergy base load need,0.0,1,0.51153845,0.48846155,North West
10368,2020-10-31 07:17:04,current nuclear energy also clean energy it’s acknowledged article video headline little misleading,0.0,2,0.14800364,0.85199636,North West
10369,2020-10-29 11:19:00,case nuclear energy viewed negatively main australian public party mention unless therefore whoever get try buy replicate smr technology available,0.0,2,0.33152777,0.66847223,North West
10370,2020-08-04 13:47:36,advantage disadvantage nuclearfission form nuclearenergy httpstcogkdigst,2.0,2,0.2788745,0.72112554,North West
10371,2020-03-29 20:47:36,member government kow tow china funding project like h nuclear energy plant,2.0,2,0.28346023,0.71653974,North West
10372,2020-02-22 15:41:54,she’s beautiful amazing extremely talented woman that’s pointwoman running would love planet try help back e rid u nuclear energy start reinvent world kid need chance life 👍🙏🙏,1.0,2,0.044409353,0.95559067,North West
10373,2020-02-08 21:30:22,also need include nuclear energy mix cleanenergy,1.0,2,0.0033385963,0.9966614,North West
10374,2020-01-10 17:40:14,decarbonisation awareness nuclear energy’s role reducing carbon emission carbon free energy time educate,4.0,0,0.7424677,0.25753224,North West
10375,2020-01-06 18:22:41,i’d add nuclear energy carbon free delivers base load energy grid,0.0,0,0.9795089,0.020491118,North West
10376,2019-11-23 16:56:07,i’d add increasing investment nuclear energy production crucial delivering base level electric zero emission energy production,0.0,0,0.97588456,0.024115492,North West
10377,2019-11-04 19:29:30,mix energy source important reliance one source foolhardy nuclear ha demonised ha ability provide real solution towards decarbonisation people think nuclear energy nuclear bomb correct,0.0,0,0.69701385,0.30298612,North West
10378,2019-11-04 18:02:29,country looking roll nuclear energy help climate change producing zero carbon energy help towards electricfcation transport clean air httpstcoyueendxceh,0.0,0,0.64767194,0.35232803,North West
10379,2019-11-03 11:54:20,“cost nation decade effort expended environmentally friendly energy projects” i’ll agree investing geothermal solar wind tidal nuclear energy research development technology,6.0,2,0.017723734,0.98227626,North West
10380,2019-09-20 11:52:45,problem nuclear energy current political climate many left oppose nuclear energy many right oppose state owned utility idea cost effective state owned nuclear power station never considered,2.0,2,0.25978985,0.7402102,North West
10381,2019-09-20 11:31:53,bit weird campaign low carbon power day climatestrike campaign nuclear disarmament nuclear energy anyway abolishing mass murdering nuke protest peaceful civilian use replace fossil fuel,3.0,0,0.98142564,0.018574342,North West
10382,2019-05-30 11:31:04,show teaching lesson physic teacher former worker energy industry personally favour nuclear energy much cleaner better environment safety precaution strictly adhered waste disposed safely,1.0,2,0.16635437,0.8336457,North West
10383,2014-07-21 13:06:07,uk nuclear energy industry expert discus latest tech advancement insidermadeintheuk ifb httptcoatirmwrso,3.0,2,0.22787793,0.77212214,North West
10384,2014-07-21 11:38:53,next conference nuclear energy insidermadeintheuk httptcodcmxaipo,0.0,2,0.35119048,0.6488095,North West
10385,2014-06-12 10:25:03,opening speech sound good sme sector sellafield nuclear nuclearenergy energus,0.0,0,0.9814886,0.01851146,North West
10386,2014-06-12 09:28:25,sellafield ltd supplier forum sellafield energus nuclear nuclearenergy httptcoplrbqtzaoe,1.0,2,0.038775295,0.9612247,North West
10387,2013-10-27 12:00:34,bbcsp caroiline flint say stick pay well pay neglect say year investment nuclear energy past failure,0.0,2,0.0047719874,0.99522805,North West
13885,2020-11-26 07:42:42,tree planting really great news beautiful varied environment need nuclear energy decarbonise need lithium mining offset carbon saving wind power,0.0,0,0.7594827,0.24051727,Yorkshire
13886,2020-11-24 15:00:11,sludge centre expertise yes real research body crucial work processing nuclear waster collab find httpstcogmkzyxxc nuclear nuclearenergy energy sellafield researchhighlight,0.0,0,0.69319576,0.30680427,Yorkshire
13887,2020-10-27 21:45:52,nuclear energy far safe cheap fukushima however safe nuclear reactor possible research thorium reactor,0.0,0,0.6656967,0.33430335,Yorkshire
13888,2019-12-01 11:13:01,wouldnt necessary green group hadnt pushed germany away nuclear energy 😐,171.0,0,0.9890176,0.010982351,Yorkshire
13889,2019-11-06 18:08:45,government cant like ostrich anymore old fossil fuel phased industry transition clean power nuclear energy power station hinkley point phase httpstcosvfgtgpnp,1.0,2,0.2454199,0.7545801,Yorkshire
13890,2019-09-14 21:28:22,absolutely typical example hypocrisy stupidity certain element green activism vietnam ha swapped emissionsfree nuclear energy coal instead 🏭⚠️,59.0,2,0.13445608,0.8655439,Yorkshire
13892,2019-04-23 16:00:40,look deadbeat make extinctionrebellionthey sort unwashed lefty marched nuclear energy supported miner it’s nothing climatechange left wing politics,0.0,0,0.9473693,0.052630734,Yorkshire
13895,2014-10-24 23:09:42,thanks nuclear energy work,0.0,0,0.722636,0.27736402,Yorkshire
13896,2013-06-08 23:42:05,political support needed nuclear energy detail envtl damage caused closing san onofre ca httptcozzuanwbed,0.0,0,0.9715798,0.028420236,Yorkshire
13897,2013-05-07 15:22:15,opinion think wa nuclear energy isnt everyone struggle noticed,0.0,0,0.8898382,0.11016183,Yorkshire
13898,2013-05-07 15:18:36,wa alright think hope stimulus card got nuclear energy racism went nuclear energy xxx,0.0,0,0.9335817,0.06641828,Yorkshire
13899,2011-02-17 10:12:35,passcomm doncaster racecourse learn nuclear energy,0.0,2,0.07984362,0.9201564,Yorkshire
33160,2020-11-25 08:40:05,commercializing nextgeneration nuclear energy technology httpstcoxxnnyvsel httpstcoqrcumywto,0.0,0,0.98181593,0.018184057,Scotland
33161,2020-11-23 15:01:36,part mr johnson call green industrial revolution tackle climate change create job industry nuclear energy httpstcotowmpsvm,0.0,2,0.09681826,0.9031818,Scotland
33162,2020-11-18 07:15:12,news morning cronyism pandemic spread trump sacking man telling truth oh wait boris ha green plan relies nuclear energy forget rest cummings gone boris green rejoice,0.0,2,0.12031204,0.879688,Scotland
33163,2020-10-31 23:11:20,nuclear energy necessary,5.0,0,0.9786997,0.02130038,Scotland
33164,2020-06-16 23:10:06,french already nuclear energy chinese steelwhy doesn’t uk start running it’s affair,9.0,2,0.014127269,0.98587275,Scotland
33165,2020-06-10 09:59:24,doesn’t say france probably plan synthesise carbonneutral jet fuel using nuclear energy rollsroyce plan retired nuclear site uk begs devil’s dilemma question ‘critical’ nuclear co httpstcorrpjwgqat,6.0,0,0.96380764,0.036192343,Scotland
33166,2020-06-05 14:07:25,doe make sense since helped shaping right thanks veto capability vote eu parliament agree money laundering policy nuclear energy safety,0.0,2,0.07748319,0.9225168,Scotland
33167,2020-05-01 23:31:59,nuclear energy clean think need take step back review reality trying sneak one least cost effective long term potentially dangerous industry ever known man guise eco friendly pushing,0.0,0,0.81318766,0.18681236,Scotland
33168,2019-12-06 17:11:39,also waste associated renewable energy volume waste much larger waste stream associated nuclear power reason nuclear energy ha high energy density httpstconhofavtsdb,0.0,0,0.9402063,0.059793755,Scotland
33169,2019-08-23 15:38:46,importance nuclear energy stressed international organisation time action climateemergency energysecurity let’s get,1.0,0,0.8975161,0.10248389,Scotland
33170,2019-08-21 19:42:03,oohgoing twitter spat i’d love buy ev feel smug like many others still can’t resolve fact ev use electricity generated mainly oil gas coal amp nuclear energyso it’s kinda hypocritical isn’t 🤔,0.0,0,0.9817988,0.018201176,Scotland
33171,2019-06-05 14:05:43,it’s also won’t invest developing thorium nuclear energy clean amp safe alternative uraniumthorium doesn’t produce weaponsgrade plutonium byproduct way uranium doe 😡,0.0,2,0.0104568815,0.9895431,Scotland
33172,2019-06-05 11:59:11,name bbc news nuclear energy bill used subsidise submarine httpstcowpuqlnmoq,0.0,0,0.8047344,0.19526562,Scotland
