,date,tweet,nlikes,label,prob_neg,prob_pos,state_code
2389,2020-11-27 23:42:19,look wind energy fuck uk spend billion httpstcoymrskuycym httpstcotygtqerf,0.0,0,0.87725705,0.12274297,West Midlands
2390,2020-11-24 08:30:36,development wind energy key part uk’s green economic recovery supporting ukwindweek info httpstcoabogdaebm httpstcoszepwtpk,9.0,2,0.111696266,0.8883037,West Midlands
2391,2020-10-23 09:27:39,debate trump said solar power cannot run factory crazy many hi tech data center powered solar wind energy go check fact,1.0,0,0.67995495,0.32004508,West Midlands
2392,2020-10-18 13:27:15,uk energy supply still gloomy autumn day,1.0,0,0.79810023,0.20189978,West Midlands
2393,2020-07-12 10:55:46,act tell decisionmakers say yes responsibly developed offshore wind energy environment people amp wildlife greenjobs greenrecovery cleanenergy via httpstcohnfzmtrb,1.0,2,0.009240945,0.990759,West Midlands
2394,2020-03-02 08:35:23,compelling daily sketch worth weight mystery hookland mercury taut expertly crafted tale wind energy monthly vibrates energy page one erotic parade 🕵️‍♀️✍️🔎 httpstcoizyyral,9.0,0,0.9713407,0.028659318,West Midlands
2395,2019-10-06 11:33:36,windpower providing uk electricity topping source renewableenergy windenergy energy climatechange climatebreakdown httpstcobadtivtuf,2.0,2,0.096292295,0.9037077,West Midlands
2396,2019-08-04 09:32:34,else green think electricity generated even wind energy us turbine made factory powered yup oil gas coal,0.0,2,0.1101464,0.8898536,West Midlands
2397,2019-05-17 20:34:08,blessed sun allow rise set weve land space go solar amp wind energy,0.0,2,0.26208368,0.7379163,West Midlands
2398,2015-04-29 14:06:14,wind energy chief hit back conservative ukip httptconkormyc shropshire httptcoggtotakv,0.0,2,0.3567741,0.64322597,West Midlands
2399,2014-02-25 21:17:39,renewable wind energy big fan,0.0,2,0.08095753,0.91904247,West Midlands
2400,2014-02-18 20:09:26,wind energy hailed shropshire farmer httptcoslqxrpdp via,0.0,2,0.005980007,0.99402,West Midlands
2401,2013-05-21 09:12:59,prof jay lee john deere precision farming system extension wind energy development ssc httptcoqegvkerdhw,0.0,0,0.97757894,0.022421002,West Midlands
2402,2012-10-13 17:03:20,good debate wind energy today chairman conclusionno one changed mind,1.0,0,0.8210202,0.17897981,West Midlands
2403,2011-11-20 10:20:18,prince philip declares wind energy useless object public subsidyooh irony,0.0,2,0.23178652,0.7682135,West Midlands
